name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,purpose,performance_score
Asus P9X79 DELUXE,593.68,LGA2011,atx,64,8,Black / Blue,DDR3,General,12.26
Gigabyte GA-X79S-UP5-WIFI,694.34,LGA2011,eatx,64,8,Black / Blue,DDR3,General,12.26
ASRock B75 Pro3-M,294.42,LGA1155,micro atx,32,4,Brown / Black,DDR3,General,6.71
Biostar TA970,314.91,AM3+,atx,64,4,Black / Red,DDR3,General,8.39
ASRock Z87 Extreme3,299.89,LGA1150,atx,32,4,Brown / Black,DDR3,General,7.1
Intel DZ87KLT75K,293.52,LGA1150,atx,32,4,Black / Blue,DDR3,General,7.1
Gigabyte GA-Z97X-SOC FORCE,331.75,LGA1150,atx,32,4,Black / Orange,DDR3,General,7.1
Asus SABERTOOTH Z97 MARK2,299.89,LGA1150,atx,32,4,Brown / Black,DDR3,General,7.1
MSI Z97M Gaming,205.42,LGA1150,micro atx,32,4,Black / Red,DDR3,General,7.1
Gigabyte GA-X99-GAMING 5,589.49,LGA2011-3,atx,128,8,Black / Red,DDR3,Design,14.84
Gigabyte GA-X99-UD5 WIFI,689.52,LGA2011-3,eatx,64,8,Black / Yellow,DDR3,General,12.26
Gigabyte GA-X99-GAMING G1WIFI,696.65,LGA2011-3,eatx,64,8,Black / Red,DDR3,General,12.26
Asus Z10PE-D16,677.76,2 X LGA2011-3 NARROW,ssi eeb,1024,16,Black / Blue,DDR4,General,58.71
Asus ASUS CS-B,205.8,LGA1150,micro atx,32,4,Brown / Black,DDR3,General,7.1
MSI A68HM-GRENADE,162.26,FM2+,micro atx,32,2,Brown / Black,DDR3,General,5.16
Asus Z170M-E D3,328.92,LGA1151,micro atx,64,4,Black / Gold,DDR4,Office,8.77
ASRock H170M Pro4,334.25,LGA1151,micro atx,64,4,Black / Orange,DDR4,Office,8.77
Gigabyte GA-B150M-D2V DDR3,366.3,LGA1151,micro atx,16,2,Black / Silver,DDR4,General,4.9
MSI H170A Gaming Pro,1760.93,LGA1151,atx,64,4,Black / Red,DDR4,General,8.77
Gigabyte GA-P35-DS3L,296.28,LGA775,atx,8,4,Multicolor,DDR3,General,4.58
ASRock A88M-G/3.1,151.66,FM2+,micro atx,64,4,Black / Red,DDR3,Office,8.39
Supermicro X10SRM-F,187.1,LGA2011-3 NARROW,micro atx,512,4,Black / Green,DDR4,Office,26.45
ASRock Fatal1ty X99 Professional Gaming i7,589.49,LGA2011-3,atx,128,8,Black / Red,DDR3,Design,14.84
Gigabyte GA-990FXA-UD3 Ultra,343.82,AM3+,atx,64,4,Black / Silver,DDR3,General,8.39
MSI 970A GAMING PRO CARBON,343.33,AM3+/AM3,atx,32,4,Black / Silver,DDR3,General,7.1
Gigabyte X299 AORUS Gaming 7,525.83,LGA2066,atx,128,8,Black / Silver,DDR4,Design,14.84
ASRock Fatal1ty B360 Gaming K4,532.42,LGA1151,atx,64,4,Black,DDR4,General,8.77
Gigabyte H370N WIFI,176.55,LGA1151,mini itx,32,2,Unknown,DDR4,General,5.55
Gigabyte H370 AORUS GAMING 3,399.31,LGA1151,atx,64,4,Black / Orange,DDR4,General,8.77
Gigabyte H310M S2V,360.92,LGA1151,micro atx,32,2,Black / Silver,DDR4,General,5.55
MSI H310M GAMING ARCTIC,138.82,LGA1151,micro atx,32,2,White,DDR4,General,5.55
