name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,socket,purpose,performance_score
Intel Core i5-4670K,144.25,4,3.4,0.0,84,Intel HD Graphics 4600,False,LGA1151,General,15.537643628880122
AMD Threadripper 1920X,280.0,12,3.5,4.0,180,None,True,sTR4,Design,20.863199265499414
Intel Core i7-4790K,200.0,4,4.0,4.4,88,Intel HD Graphics 4600,True,LGA1151,General,22.052609165656634
Intel Core i9-10900X,508.0,10,3.7,4.7,165,None,True,LGA1200,Gaming,20.430116969335067
Intel Core i7-6850K,165.0,6,3.6,3.8,140,None,True,LGA1151,General,16.512623286396625
Intel Core i5-2500K,234.0,4,3.3,0.0,95,Intel HD Graphics 3000,False,LGA1155,General,13.620626822157432
Intel Core i3-2100,49.0,2,3.1,0.0,65,Intel HD Graphics 2000,True,LGA1200,General,14.067055393586003
Intel Core i3-7350K,59.99,2,4.2,0.0,60,Intel HD Graphics 630,True,LGA1151,General,17.82249199445586
Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,True,LGA1700,Gaming,70.99125364431487
AMD FX-8320,109.0,8,3.5,0.0,125,None,False,AM3+,General,17.52741913091767
Intel Xeon E5-2687W V4,2660.0,12,3.0,3.5,160,None,True,LGA2011,General,22.707929666986583
Intel Core i5-7600,130.0,4,3.5,4.1,65,Intel HD Graphics 630,False,LGA1151,Office,25.642724622316454
Intel Core i3-7100,103.0,2,3.9,0.0,51,Intel HD Graphics 630,True,LGA1200,General,20.074568288854003
Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False,LGA1200,Office,25.97402597402597
Intel Core i7-2700K,95.0,4,3.5,0.0,95,Intel HD Graphics 3000,True,LGA1151,General,15.283345481049563
Intel Celeron G5925,36.97,2,3.6,0.0,58,Intel UHD Graphics 610,False,LGA1200,General,15.417304936502445
Intel Core i7-6800K,195.0,6,3.4,3.6,140,None,True,LGA1151,General,16.171453383785124
AMD Athlon II X2 240,29.48,2,2.8,0.0,65,None,False,AM2+/AM3,General,12.19188974291015
Intel Core i9-10900F,312.99,10,2.8,5.2,65,None,True,LGA1200,Gaming,50.14577259475218
Intel Core i7-2600K,199.88,4,3.4,0.0,95,Intel HD Graphics 3000,True,LGA1151,General,15.13301749271137
AMD Threadripper 2990WX,2500.0,32,3.0,4.2,250,None,True,sTR4,Design,33.999279848535885
Intel Core i9-9900K (Standard Folding Box),517.87,8,3.6,5.0,95,Intel UHD Graphics 630,True,LGA1151,Gaming,30.466472303207002
Intel Core i9-7900X,413.0,10,3.3,4.5,140,None,True,LGA1151,Gaming,23.50660628993239
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True,LGA1200,Gaming,50.14577259475218
Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True,LGA1151,Gaming,26.05685131195335
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False,LGA1155,General,18.47024524095352
Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,True,LGA1200,Gaming,42.201166180758015
Intel Pentium Gold G5420,58.99,2,3.8,0.0,54,Intel UHD Graphics 610,True,LGA1200,General,18.71720116618076
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,None,True,LGA1151,Design,28.167480417296005
Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,True,LGA1200,Gaming,34.475218658892125
Intel Core i7-7740X,193.74,4,4.3,4.5,112,None,True,LGA1151,General,17.837147501225523
Intel Pentium E6600,50.0,2,3.06,0.0,65,None,False,LGA1151,General,12.708719851576992
Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False,LGA1151,Office,31.672409223429632
AMD FX-9590,302.58,8,4.7,5.0,220,None,False,AM3+,Gaming,12.684194556943655
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True,LGA1200,Gaming,36.07871720116618
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False,LGA1151,Office,31.738669493771532
Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True,LGA1151,Gaming,43.22157434402332
Intel Core i9-10920X,679.99,12,3.5,4.8,165,None,True,LGA1200,Gaming,23.212090343882817
