name,price,price_per_gb,color,first_word_latency,cas_latency,speed_mhz,ddr_type,total_capacity,purpose,performance_score
G.Skill F3-10666CL9D-8GBSQ 8 GB,21.19,2.649,Green,13.503,9.0,1333,DDR3,8,General,6.664453349101212
Kingston KVR667D2D4F5/8G 8 GB,728.0,91.0,Black / Silver,14.993,5.0,667,DDR2,8,General,5.046782707395574
Crucial CT2KIT102464BF160B 16 GB,40.44,2.527,Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
Crucial CT4K8G4DFS8213 32 GB,159.0,4.969,Black / Green,14.065,15.0,2133,DDR4,32,General,17.06111504698446
Crucial CT51264BF160B 4 GB,17.0,4.25,Black / Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Crucial CT2K16G4SFD8213 32 GB,98.0,3.062,Black / Green,14.065,15.0,2133,DDR4,32,General,17.06111504698446
Kingston KVR26S19D8/16 16 GB,39.79,2.487,Green / Black,14.254,19.0,2666,DDR4,16,General,12.696137916643936
Kingston KCP426SS6/4 4 GB,21.1,5.275,Green / Black,12.753,17.0,2666,DDR4,4,General,8.489026666679868
Crucial CT12864AC800 1 GB,19.98,19.98,Green,15.0,6.0,800,DDR2,1,General,2.880557132606313
Kingston Value 1 GB,22.99,22.99,Green,15.0,3.0,400,DDR2,1,General,1.955637614071609
Kingston KVR533D2SO/1GR 1 GB,15.0,15.0,Green,15.009,4.0,533,DDR2,1,General,2.2601431234901708
Mushkin 991643 2 GB,12.99,6.495,Green,13.133,7.0,1066,DDR3,2,General,3.924488356718697
Kingston KVR16S11K2/16 16 GB,90.17,5.636,Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
Samsung M471B5273DH0-CK0 4 GB,10.01,2.502,Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
IBM 00D4955 4 GB,132.99,33.248,Black / Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Samsung M393B2G70BH0-YH9 16 GB,28.2,1.762,Black / Green,13.503,9.0,1333,DDR3,16,General,9.494273801872483
Patriot Extreme Performance 32 GB,176.23,5.507,Black / White,14.065,15.0,2133,DDR4,32,General,17.06111504698446
Crucial CT16G3ERSLD41339 16 GB,38.99,2.437,Green,13.503,9.0,1333,DDR3,16,General,9.494273801872483
Kingston KVR13R9D4/16 16 GB,39.0,2.438,Green,13.503,9.0,1333,DDR3,16,General,9.494273801872483
Crucial CT102464BF186D 8 GB,26.8,3.35,Green / Black,13.934,13.0,1866,DDR3,8,General,7.9287645252654135
Corsair CMSX4GX4M1A2400C16 4 GB,19.98,4.995,Black,13.333,16.0,2400,DDR4,4,General,7.82502776299907
Kingston HyperX Impact 8 GB,74.98,9.373,Black / Silver,11.592,17.0,2933,DDR4,8,General,10.589988348434364
Silicon Power SP004GBLFU213N02 4 GB,43.26,10.815,Unknown,14.065,15.0,2133,DDR4,4,General,7.156743462285009
Mushkin 991586 2 GB,14.64,7.32,Green,13.503,9.0,1333,DDR3,2,General,4.542088009522757
G.Skill F3-12800CL11S-4GBSQ 4 GB,43.0,10.75,Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Crucial CT2K4G3S1067M 8 GB,30.0,3.75,Green,13.133,7.0,1066,DDR3,8,General,6.046853696297151
Corsair CMV4GX3M1A1600C11 4 GB,24.99,6.247,Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Kingston KVR16LS11/8 8 GB,28.91,3.614,Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Kingston KTL-TP3CL/8G 8 GB,34.97,4.371,Unknown,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Crucial CT2KIT25664BA160B 4 GB,23.0,5.75,Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
G.Skill AEGIS 4GB 4 GB,45.0,11.25,Unknown,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Crucial CT2K2G3S1067M 4 GB,35.99,8.998,Black / Green,13.133,7.0,1066,DDR3,4,General,4.631943469911515
Crucial CT2K8G3S160BM 16 GB,67.0,4.188,Black / Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
GeIL Green 8 GB,88.99,11.124,Black / Green,13.503,9.0,1333,DDR3,8,General,6.664453349101212
Crucial CT51264BF160BJ 4 GB,16.5,4.125,Black / Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Crucial CT8G3ERSLD4160B 8 GB,26.99,3.374,Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Kingston KVR16LR11S8K4/16 16 GB,462.0,28.875,Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
Kingston KVR16R11S4/8 8 GB,48.73,6.091,Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Kingston KVR16LR11S8/4 4 GB,46.71,11.678,Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Kingston KVR13LR9D4K4/64 64 GB,398.78,6.231,Green,13.503,9.0,1333,DDR3,64,General,26.473196518500117
Kingston ValueRAM 48 GB,98.99,2.062,Black / Green,13.75,11.0,1600,DDR3,48,General,21.443140009111676
Crucial CT2K51264BD160BJ 8 GB,32.0,4.0,Black / Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Crucial CT51264BF186DJ 4 GB,26.4,6.6,Black / Green,13.934,13.0,1866,DDR3,4,General,6.513854298879775
G.Skill Aegis 64 GB,616.82,9.638,Black / Red,14.065,15.0,2133,DDR4,64,General,28.380396858069552
Kingston KCP421NS8/4 4 GB,32.99,8.248,Black / Green,14.065,15.0,2133,DDR4,4,General,7.156743462285009
V7 V7192008GBS 8 GB,27.54,3.442,Green / Black,14.167,17.0,2400,DDR4,8,General,9.218661876805573
Crucial CT2K8G3ERSLS4160B 16 GB,230.14,14.384,Green / Black,13.75,11.0,1600,DDR3,16,General,10.12385819802659
Kingston KCP426NS6/4 4 GB,17.69,4.423,Green / Black,14.254,19.0,2666,DDR4,4,General,8.451407237487027
Neo Forza FAYE 64 GB,269.99,4.219,Silver / Black,10.0,15.0,3000,DDR4,64,General,30.620108488960952
G.Skill F4-3600C16Q2-64GTZKK 64 GB,382.62,5.978,Black,8.889,16.0,3600,DDR4,64,Office,32.131212672223505
TEAMGROUP Night Hawk RGB Gen 2 16 GB,109.99,6.874,Black,9.0,18.0,4000,DDR4,16,Office,16.12548480229979
G.Skill F3-12800CL9D-8GBSQ 8 GB,21.19,2.649,Green,11.25,9.0,1600,DDR3,8,General,7.38712607082906
Crucial CT16G4RFD8266 16 GB,44.89,2.806,Green / Black,14.254,19.0,2666,DDR4,16,General,12.696137916643936
Crucial CT8G4SFS8266 8 GB,26.28,3.285,Green / Black,14.254,19.0,2666,DDR4,8,General,9.866317463872663
Corsair Mac Memory 16 GB,79.99,4.999,Black / Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
Crucial CT32G4RFD4293 32 GB,83.15,2.598,Green / Black,14.32,21.0,2933,DDR4,32,General,19.008592390841255
Silicon Power SP008GBSFU240B02 8 GB,51.87,6.484,Unknown,14.167,17.0,2400,DDR4,8,General,9.218661876805573
Patriot PSD22G6672S 2 GB,42.49,21.245,Blue,14.993,5.0,667,DDR2,2,General,2.92441736781712
Mushkin 991741 4 GB,69.52,17.38,Green,15.0,6.0,800,DDR2,4,General,3.94173980239554
Corsair CMSO16GX3M2C1600C11 16 GB,74.99,4.687,Green,11.25,9.0,1600,DDR3,16,General,10.216946523600331
Crucial CT8G4RFS824A 8 GB,38.99,4.874,Green / Black,14.167,17.0,2400,DDR4,8,General,9.218661876805573
Crucial CT2K16G4SFD8266 32 GB,113.98,3.562,Green / Black,14.254,19.0,2666,DDR4,32,General,18.35577882218648
Corsair VS1GB533D2 1 GB,29.99,29.99,Green,15.009,4.0,533,DDR2,1,General,2.2601431234901708
Corsair VS4GSDSKIT667D2 4 GB,54.99,13.748,Green,14.993,5.0,667,DDR2,4,General,3.631872481009937
Crucial CT2KIT12864AC800 2 GB,35.86,17.93,Green,15.0,6.0,800,DDR2,2,General,3.234284689202722
Crucial CT2KIT25664AC667 4 GB,34.99,8.748,Green,14.993,5.0,667,DDR2,4,General,3.631872481009937
Mushkin 991556 2 GB,15.72,7.86,Green,14.993,5.0,667,DDR2,2,General,2.92441736781712
G.Skill F3-1600C11D-16GSL 16 GB,34.21,2.138,Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
OCZ OCZ2M8004GK 4 GB,61.2,15.3,Green,12.5,5.0,800,DDR2,4,General,4.039080063670228
Crucial CT16G4VFD4213 16 GB,74.95,4.684,Black / Green,14.065,15.0,2133,DDR4,16,General,11.401474141441918
Crucial CT8G4VFS4213 8 GB,48.99,6.124,Black / Green,14.065,15.0,2133,DDR4,8,General,8.571653688670645
Crucial CT8G4RFS4213 8 GB,38.97,4.871,Black / Green,14.065,15.0,2133,DDR4,8,General,8.571653688670645
Mushkin 992082 32 GB,114.99,3.593,Silver,13.503,9.0,1333,DDR3,32,General,15.15391470741503
Kingston KVR13R9D4K4/64I 64 GB,174.99,2.734,Green,13.503,9.0,1333,DDR3,64,General,26.473196518500117
Crucial CT2KIT102464BF186D 16 GB,45.0,2.812,Black / Green,13.934,13.0,1866,DDR3,16,General,10.758584978036685
Crucial CT8G4RFS424A 8 GB,39.99,4.999,Green / Black,14.167,17.0,2400,DDR4,8,General,9.218661876805573
