name,price,chipset,memory,core_clock,boost_clock,color,length,purpose,performance_score
MSI GeForce GTX 1060 6GT OCV1,889.0,GeForce GTX 1060 6GB,6.0,1544.0,1759.0,Black / White,243.0,Mid-Range Gaming,43.909465020576135
PNY VCQRTX6000-PB,2448.96,Quadro RTX 6000,24.0,1440.0,1770.0,Black / Silver,267.0,Mid-Range Gaming,67.28395061728394
ASRock Steel Legend OC,289.99,Radeon RX 7600,8.0,1720.0,2725.0,White,303.0,Budget Gaming,66.35802469135803
MSI VENTUS 2X OCV1,359.99,GeForce RTX 3060 Ti LHR,8.0,1410.0,1695.0,Black / Gray,235.0,Mid-Range Gaming,45.16460905349794
Asus STRIX GAMING OC,1430.11,GeForce RTX 3090,24.0,1395.0,1890.0,Black,318.0,Mid-Range Gaming,69.75308641975309
EVGA SC ULTRA GAMING,199.99,GeForce GTX 1660 SUPER,6.0,1530.0,1830.0,Black,202.0,Budget Gaming,45.370370370370374
Gigabyte WINDFORCE,1775.0,GeForce RTX 4090,24.0,2235.0,2520.0,Black,331.0,High-End Gaming,82.71604938271605
MSI GT 710 1GD3H LP,49.53,GeForce GT 710,1.0,954.0,954.0,Black,146.0,Budget Gaming,20.915637860082306
Gigabyte Vision OC,405.08,GeForce RTX 3060 12GB,12.0,1320.0,1837.0,Silver / White,280.0,Mid-Range Gaming,53.23045267489711
Asus GT1030-2G-CSM,89.99,GeForce GT 1030,2.0,1266.0,1506.0,Black / Blue,173.0,Budget Gaming,33.55967078189301
Gigabyte OC,281.92,GeForce GTX 1660 SUPER,6.0,1530.0,1830.0,Black / Silver,226.0,Budget Gaming,45.370370370370374
Asus ROG STRIX GAMING OC V2,899.99,GeForce RTX 3080 10GB LHR,10.0,1440.0,1935.0,Black,318.0,Mid-Range Gaming,52.674897119341566
MSI Radeon RX 6600 MECH 2X 8G,268.96,Radeon RX 6600,8.0,1626.0,2491.0,Black / Silver,235.0,Budget Gaming,61.5432098765432
ASRock Radeon RX6700XT PGD 12GO,648.44,Radeon RX 6700 XT,12.0,2457.0,2622.0,Silver / Black,305.0,Mid-Range Gaming,69.38271604938271
MSI GAMING Z TRIO,1400.46,GeForce RTX 3080 10GB LHR,10.0,1440.0,1830.0,Black,323.0,Mid-Range Gaming,50.514403292181065
MSI GeForce RTX 2060 VENTUS GP OC,372.48,GeForce RTX 2060,6.0,1365.0,1710.0,Gray / Black,231.0,Mid-Range Gaming,42.901234567901234
Zotac GAMING Trinity,1199.99,GeForce RTX 4080,16.0,2205.0,2505.0,Black,356.0,High-End Gaming,72.119341563786
Asus Phoenix GeForce RTX 3060 V2,299.99,GeForce RTX 3060 12GB,12.0,1320.0,1807.0,Black,177.0,Mid-Range Gaming,52.613168724279824
MSI SUPRIM LIQUID,1809.98,GeForce RTX 4090,24.0,2235.0,2610.0,Black / Silver,280.0,High-End Gaming,84.5679012345679
ASRock Phantom Gaming Elite,99.99,Radeon RX 560 - 1024,4.0,1199.0,1275.0,Black,240.0,Budget Gaming,31.378600823045268
Inno3D Twin X2,896.09,GeForce RTX 4070,12.0,1920.0,2475.0,Black / Silver,250.0,Mid-Range Gaming,66.35802469135803
GALAX EX Gamer,798.99,GeForce RTX 4070 Ti,12.0,2310.0,2625.0,Black,320.0,Mid-Range Gaming,69.44444444444444
MSI GeForce RTX 3090 GAMING X TRIO 24G,1699.0,GeForce RTX 3090,24.0,1395.0,1395.0,Black,335.0,Mid-Range Gaming,59.5679012345679
MSI AERO ITX OC,289.99,GeForce RTX 3060 12GB,12.0,1320.0,1792.0,Black / Silver,172.0,Mid-Range Gaming,52.30452674897119
Asus Phoenix,188.29,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,Black / White,192.0,Budget Gaming,33.786008230452666
MSI VENTUS 3X,1099.99,GeForce RTX 4080,16.0,2205.0,2520.0,Black,322.0,High-End Gaming,72.42798353909464
Palit Dual,388.29,GeForce RTX 3060 Ti LHR,8.0,1410.0,1665.0,Black,247.0,Mid-Range Gaming,44.547325102880656
MSI RTX 3070 GAMING X TRIO,879.0,GeForce RTX 3070,8.0,1500.0,1830.0,Black / Silver,323.0,Mid-Range Gaming,47.94238683127571
EVGA BLACK GAMING,1313.99,GeForce RTX 2080 SUPER,8.0,1650.0,1815.0,Black,270.0,Mid-Range Gaming,47.63374485596707
Sapphire 21322-01-20G,1063.99,Radeon RX 7900 XTX,24.0,2300.0,2500.0,Black,276.0,High-End Gaming,82.3045267489712
Palit StormX,174.26,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,Black,166.0,Budget Gaming,33.786008230452666
Zotac GAMING Twin Edge OC White Edition,749.99,GeForce RTX 3070 LHR,8.0,1500.0,1755.0,White,232.0,Mid-Range Gaming,46.3991769547325
MSI GAMING X TRIO 8GD6X,543.79,GeForce RTX 3060 Ti,8.0,1410.0,1845.0,Black,323.0,Mid-Range Gaming,48.25102880658436
Gigabyte AORUS ELITE,449.99,GeForce RTX 4060 Ti,8.0,2310.0,2310.0,Black,301.0,Mid-Range Gaming,57.818930041152264
Sapphire PULSE Low Profile,143.99,Radeon RX 6400,4.0,1923.0,1923.0,Black / Red,170.0,Budget Gaming,44.711934156378604
XFX Speedster MERC 308 Black,269.99,Radeon RX 6650 XT,8.0,2055.0,2694.0,Silver / Black,274.0,Budget Gaming,65.72016460905348
Inno3D X3 OC,2079.0,GeForce RTX 4090,24.0,2235.0,2550.0,Black,336.0,High-End Gaming,83.33333333333333
ASRock OC Formula,859.99,Radeon RX 6950 XT,16.0,1890.0,2495.0,Green / Black,332.0,Workstation,71.91358024691357
Asus GT730-4H-SL-2GD5,84.99,GeForce GT 730,2.0,902.0,927.0,Blue,148.0,Budget Gaming,21.64609053497942
PowerColor ITX,149.99,Radeon RX 6500 XT,4.0,2310.0,2310.0,Black,165.0,Budget Gaming,52.674897119341566
Asus ROG STRIX,980.0,GeForce GTX 1080,8.0,1670.0,1835.0,Black,298.0,Mid-Range Gaming,48.04526748971193
Gigabyte GV-N1030D4-2GL,69.98,GeForce GT 1030 DDR4,2.0,1151.0,1417.0,Black,150.0,Budget Gaming,31.728395061728392
Gigabyte GAMING,150.0,GeForce GTX 1050,2.0,1417.0,1556.0,Black / Orange,219.0,Budget Gaming,34.58847736625514
XFX RX-570P8DFD6,299.99,Radeon RX 570,8.0,1168.0,1286.0,Black / Red,243.0,Budget Gaming,36.748971193415635
MSI ARMOR OC,494.99,Radeon RX 580,8.0,1257.0,1366.0,Black / White,269.0,Mid-Range Gaming,38.39506172839506
Inno3D iChill Black,3052.0,GeForce RTX 4090,24.0,2235.0,2580.0,Black,280.0,High-End Gaming,83.95061728395062
MSI GeForce RTX 3090 VENTUS 3X 24G OC,1224.31,GeForce RTX 3090,24.0,1395.0,1395.0,Black,305.0,Mid-Range Gaming,59.5679012345679
MSI GeForce RTX 3070 VENTUS 3X OC,749.9,GeForce RTX 3070,8.0,1500.0,1755.0,Black / Silver,305.0,Mid-Range Gaming,46.3991769547325
XFX Speedster QICK 319 Ultra,649.0,Radeon RX 6750 XT,12.0,2150.0,2623.0,Silver / Black,323.0,Mid-Range Gaming,69.40329218106996
EVGA XC3 ULTRA GAMING iCX3,1199.0,GeForce RTX 3080 Ti,12.0,1365.0,1725.0,Black,300.0,Mid-Range Gaming,50.92592592592592
ASRock Phantom Gaming D,289.99,Arc A770,8.0,2200.0,2200.0,Black,305.0,Budget Gaming,55.55555555555556
MSI GeForce GTX 1650 SUPER,497.0,GeForce GTX 1650 SUPER,4.0,1530.0,1740.0,Black / Silver,180.0,Mid-Range Gaming,40.946502057613166
Palit GameRock,1893.47,GeForce RTX 4090,24.0,2235.0,2520.0,Silver / Black,329.0,High-End Gaming,82.71604938271605
Asus ROG STRIX WHITE OC,2299.98,GeForce RTX 3090,24.0,1395.0,1890.0,White / Black,318.0,Mid-Range Gaming,69.75308641975309
Asus ProArt OC,839.99,GeForce RTX 4070 Ti,12.0,2310.0,2760.0,Black / Gold,300.0,Mid-Range Gaming,72.22222222222221
PNY VCG16504D6DFPPB,149.99,GeForce GTX 1650 G6,4.0,1485.0,1590.0,Black,170.0,Budget Gaming,37.86008230452674
Zotac GAMING Twin Edge OC Spider-Man: Across the Spider-Verse,429.99,GeForce RTX 4060 Ti,8.0,2310.0,2550.0,Black,226.0,Mid-Range Gaming,62.757201646090536
MSI Radeon RX 6900 XT GAMING X TRIO 16G,1043.36,Radeon RX 6900 XT,16.0,1825.0,2340.0,Silver / Black,324.0,Workstation,68.72427983539094
PNY XLR8 Gaming REVEL EPIC-X RGB Dual Fan,299.99,GeForce RTX 3060 12GB,12.0,1320.0,1320.0,Black,247.0,Mid-Range Gaming,42.592592592592595
PowerColor Fighter OC,169.0,Radeon RX 6500 XT,4.0,2310.0,2310.0,Black,191.0,Budget Gaming,52.674897119341566
MSI GeForce RTX 3080 VENTUS 3X 10G OC,1069.0,GeForce RTX 3080 10GB,10.0,1440.0,1440.0,Black,305.0,Mid-Range Gaming,42.489711934156375
ASRock Challenger OC,254.99,Radeon RX 7600,8.0,1720.0,2695.0,Black,269.0,Budget Gaming,65.74074074074073
Zotac GAMING AMP AIRO,669.99,GeForce RTX 4070,12.0,1920.0,2535.0,Black,308.0,Mid-Range Gaming,67.5925925925926
MSI GeForce RTX 3090 TI GAMING X TRIO 24G,2000.0,GeForce RTX 3090 Ti,24.0,1560.0,1920.0,Black,325.0,Mid-Range Gaming,70.37037037037037
XFX Speedster SWFT 105,139.99,Radeon RX 6400,4.0,1923.0,1923.0,Black,155.0,Budget Gaming,44.711934156378604
EVGA GAMING,239.99,GeForce RTX 2060,6.0,1365.0,1680.0,Black / Silver,190.0,Budget Gaming,42.28395061728395
Zotac AMP Extreme Holo,799.0,GeForce RTX 3080 Ti,12.0,1365.0,1785.0,Black,356.0,Mid-Range Gaming,52.160493827160494
MSI AERO ITX,124.99,Radeon RX 6400,4.0,1923.0,1923.0,Black / Gray,172.0,Budget Gaming,44.711934156378604
XFX Speedster QICK 319 BLACK,539.0,Radeon RX 6700 XT,12.0,2457.0,2622.0,Black,323.0,Mid-Range Gaming,69.38271604938271
NVIDIA TITAN RTX,2399.0,TITAN RTX,24.0,1350.0,1770.0,Gold / Black,267.0,Mid-Range Gaming,67.28395061728394
Asus TUF GAMING V2,484.0,GeForce RTX 3060 12GB,12.0,1320.0,1807.0,Black,301.0,Mid-Range Gaming,52.613168724279824
Asus Phoenix Fan OC,94.99,GeForce GT 1030,2.0,1278.0,1531.0,Black / Blue,184.0,Budget Gaming,34.074074074074076
ASRock Radeon RX 7900 XT 20GB,829.99,Radeon RX 7900 XT,20.0,2000.0,2400.0,Black,276.0,Workstation,75.1028806584362
Palit GamingPro,1332.25,GeForce RTX 4080,16.0,2205.0,2505.0,Silver / Black,329.0,High-End Gaming,72.119341563786
EVGA 02G-P3-3733-KR,49.99,GeForce GT 730,2.0,902.0,902.0,Black / Green,144.0,Budget Gaming,21.131687242798353
Asus Phoenix OC,251.05,GeForce GTX 1660 SUPER,6.0,1530.0,1830.0,Black / White,174.0,Budget Gaming,45.370370370370374
MSI RTX 3090 SUPRIM X 24G,2345.0,GeForce RTX 3090,24.0,1395.0,1875.0,Silver,336.0,Mid-Range Gaming,69.44444444444444
Asus STRIX GAMING,719.99,GeForce RTX 4070,12.0,2475.0,2505.0,Black,301.0,Mid-Range Gaming,66.97530864197532
MSI MECH 2X,499.0,Radeon RX 6700 XT,12.0,2321.0,2321.0,Black / Silver,247.0,Mid-Range Gaming,63.18930041152263
Gigabyte GV-N1030OC-2GI,111.26,GeForce GT 1030,2.0,1290.0,1544.0,Black / Orange,168.0,Budget Gaming,34.34156378600824
