name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
SolidTek KB-3962B-BT,72.66,Mini,None,None,False,Bluetooth Wireless,Black,Compact,50.0
IOGEAR GKM571R,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
SolidTek ask-3952(us)black,72.66,Mini,None,None,False,Bluetooth Wireless,Black,Compact,50.0
SIIG JK-WR0212-S1,63.35,Standard,None,None,False,Wireless,Black / Gray,Mid-Range Gaming,50.0
IOGEAR GKM561R,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
Microsoft J93-00003,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
SolidTek KB-P5000SH,85.11,Slim,None,None,False,Wired,Black / Silver,Mid-Range Gaming,38.0
SIIG JK-WR0612-S1,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
Apevia KI-COMBO-BK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
SIIG JK-US0212-S1,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Apevia KI-COMBO-BL,45.76,Standard,None,None,False,Wired,Blue / Black,Office/Budget,38.0
Kensington 72279,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
IOGEAR GKM561RW4,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
Lenovo 73P2620,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Gear Head KB3800TPW,47.52,Standard,None,None,True,Wireless,Black,Office/Budget,50.0
SIIG JK-WR0312-S1,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
Gear Head KB4950TPW,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
Rosewill RK-V1TP,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
IOGEAR GKM611B,82.64,Slim,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Rosewill RKM-1600RF,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
IOGEAR GKM581R,47.52,Standard,None,None,True,Wireless,Black,Office/Budget,50.0
Gear Head KB2500U,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
SolidTek KB-3910BU,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Rosewill RK-700M,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
SolidTek KB-700BU,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Microsoft Natural 4000,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
SolidTek KB-7070BU,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
SolidTek KB-3462B-BT,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Microsoft J93-00001,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Syba CL-KBD50027,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
HP FQ480AA#ABA,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
V7 CK0M1-6N6,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
HP FK218AT#ABA,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
HP NB896AT,150.22,Standard,None,None,False,Wireless,Black / Silver,Mid-Range Gaming,50.0
Microsoft YMC-00001,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
HP FQ481AA#ABA,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Gigabyte GK-K6800,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Rosewill RK-7300,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
nMEDIAPC HTPCKB-B,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
Lite-On SB-9061,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Logitech diNovo Edge,74.82,Mini,None,None,False,Bluetooth Wireless,Black / White,Compact,50.0
Acer Iconia Tab,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Rosewill RK-100,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Lenovo PREFERRED PRO FULL-SIZE,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
HEC 8A81,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Rosewill RK-7310,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Kensington 64390,63.35,Standard,None,None,False,Wireless,Black / Beige,Mid-Range Gaming,50.0
Gear Head KB5150W,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Gear Head KB5500W,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Rosewill RK-9000BR,147.29,Standard,Cherry MX Brown,None,False,Wired,Black,Mid-Range Gaming,58.0
Ergoguys Adjustable Keyboard,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Rosewill RK-9000RE,152.42,Standard,Cherry MX Red,None,False,Wired,Black,Mid-Range Gaming,58.0
Rosewill RK-9000BL,126.24,Standard,Cherry MX Black,None,False,Wired,Black,Mid-Range Gaming,58.0
Adesso AKB-230W,31.69,Slim,None,None,False,Wired,White,Office/Budget,38.0
Gear Head KB1700U,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Cherry Ultraslim,150.0,Slim,Cherry ML,None,False,Wired,Gray,Mid-Range Gaming,38.0
Gear Head KB3750W,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
Gear Head KBL5925W,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Lenovo 57Y6336,34.1,Mini,None,None,False,Wireless,Black,Compact,50.0
Saitek ECB43001N002/04/1,87.19,Slim,None,White,False,Wireless,Black,Mid-Range Gaming,71.0
Enermax KB009U-B,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
SolidTek KB-730BP,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Razer BlackWindow Ultimate Mac Edition,119.78,Gaming,Cherry MX Blue,Blue,False,Wired,Black,Mid-Range Gaming,79.0
Cherry G84-4101PPAUS,150.0,Slim,Cherry ML,None,False,Wired,Gray,Mid-Range Gaming,38.0
Cherry J82-16001LUNEU-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Jetway J05-KB9039ATCB-LF,34.1,Mini,None,None,False,Wireless,Black,Compact,50.0
Lite-On SK-2030/B,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Gigabyte GK-KM6150,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic K9.3,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Gigabyte GK-KM5200,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
AZIO Levetron Mech4,122.62,Gaming,Cherry MX Black,None,False,Wired,Black,Mid-Range Gaming,58.0
Cherry Wipekey,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Gear Head KB1500U,93.21,Mini,None,None,True,Wired,Silver / Black,Compact,38.0
KeyTronic KT800P210PK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
HP RC464AA,45.0,Standard,None,None,False,Wired,Black / Gray,Office/Budget,38.0
Microsoft B2L-00002B,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
SolidTek KB-260ABP,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
HP BT330AA#ABA,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Verbatim 96671,50.72,Standard,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
HP BL549AA#ABA,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Cherry G81-7000LPDUS-2,118.52,Standard,Cherry MY,None,False,Wired,Black,Mid-Range Gaming,38.0
Wintec FileMate B2020,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
AZIO KB333BM,162.08,Mini,None,None,True,Bluetooth Wireless,White,Compact,50.0
V7 KM0B1-6N6,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
AZIO KB351RT,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
V7 KC0D2-5N6,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
IOGEAR GKM552R,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
V7 KM0Z1-5N6P,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Ergoguys WKB-1000M,214.36,Ergonomic,None,None,False,Wireless,White,Mid-Range Gaming,50.0
IOGEAR GKB601B,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Logisys KB208BK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
SIIG JK-US0312-S1,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Adesso MKB-125B,125.18,Slim,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
SIIG JK-WR0512-S1,34.1,Mini,None,None,False,Wireless,Black,Compact,50.0
Rosewill RKM-800RF,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Rosewill RK-9000,112.67,Standard,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Adesso ACK-540UW,71.63,Mini,None,None,True,Wired,White,Compact,38.0
Adesso ACK-540PW,40.59,Mini,None,None,True,Wired,Beige,Compact,38.0
SIIG JK-WR0412-S1,34.1,Mini,None,None,False,Wireless,Black,Compact,50.0
Adesso ACK-595UW,71.63,Mini,None,None,True,Wired,White,Compact,38.0
Microsoft 2WJ-00002,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Adesso AKB-430UG,56.32,Standard,None,None,False,Wired,Gray / Black,Mid-Range Gaming,38.0
Adesso ACK-5010UW,37.43,Mini,None,None,False,Wired,White,Compact,38.0
SolidTek KB-3001SH,51.09,Slim,None,None,False,Wired,Silver / Black,Mid-Range Gaming,38.0
Adesso ACK-5010PW,71.63,Mini,None,None,True,Wired,White,Compact,38.0
SIIG JK-US0112-S1,131.42,Slim,ALPS Clicky Simplified White,None,False,Wired,Black,Mid-Range Gaming,38.0
Adesso PCK-208B,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Key Ovation GTS-0077,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Gear Head KB4700TP,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Key Ovation GTU-0033,219.67,Ergonomic,None,None,False,Wired,White,Mid-Range Gaming,38.0
IOGEAR GKM561RKIT,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
Adesso WKB-4000BM,105.75,Slim,None,None,True,Bluetooth Wireless,White,Compact,50.0
Ergoguys WKB1100,67.67,Ergonomic,None,None,True,Wireless,Black,Compact,50.0
Ergoguys KL-5BLK,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Ergoguys WKB2000,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Adesso AKB-530UB,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso ACK-5010UB,46.25,Mini,None,None,True,Wired,Black,Compact,38.0
Ergoguys EVIK-110,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Adesso AKB-131UB,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso MKB-135B,112.67,Standard,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Das Keyboard DASK3PROMS1,112.67,Standard,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Adesso ACK-595PB,46.25,Mini,None,None,True,Wired,Black,Compact,38.0
Adesso ACK-573UB,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
Ergoguys Arabic 101 and English Bilingual,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Das Keyboard Model S Ultimate Silent,147.29,Standard,Cherry MX Brown,None,False,Wired,Black,Mid-Range Gaming,58.0
Das Keyboard Model S Ultimate,112.67,Standard,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Adesso AKB-901,92.22,Mini,None,None,True,Wired,Black / Silver,Compact,38.0
Ergoguys KB-OR-1500BT,72.66,Mini,None,None,False,Bluetooth Wireless,Black,Compact,50.0
Adesso AKB-630B,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Ergoguys RK728,67.67,Ergonomic,None,None,True,Wireless,Black,Compact,50.0
Adesso AKB-220,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Ergoguys KL-5SILVER,53.55,Mini,None,None,False,Wired,Silver,Compact,38.0
KeyTronic TRACKBALL-P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso WKB-4100UB,67.67,Ergonomic,None,None,True,Wireless,Black,Compact,50.0
KeyTronic KT800P2M,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic KT400U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic E03601U1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Adesso AKB-410PB,46.25,Mini,None,None,True,Wired,Black,Compact,38.0
KeyTronic KT800U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso ACK-5010PB,87.49,Mini,None,None,True,Wired,Black,Compact,38.0
KeyTronic KT800P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso WKB-3200UB,58.7,Standard,None,None,True,Wired,Black,Compact,38.0
KeyTronic E06101U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso AKB-420UB,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic CLASSIC-U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso ACK-540UB,46.25,Mini,None,None,True,Wired,Black,Compact,38.0
KeyTronic KT400U1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
KeyTronic KT800U2M,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso AKB-230,58.7,Standard,None,None,True,Wired,Black,Compact,38.0
KeyTronic E03600P1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
KeyScan KS810-P,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic DESIGNER-P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso WKB-4000BB,70.51,Slim,None,None,False,Bluetooth Wireless,Black,Mid-Range Gaming,50.0
Adesso WKB-4200UB,140.21,Slim,None,None,True,Wireless,Black / Silver,Compact,50.0
KeyTronic E06101USBC,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Adesso WKB-4000UB,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
KeyTronic E03601U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Verbatim 96983,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
KeyTronic KT800U210PK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic E03601P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso ACK-730UW,37.43,Mini,None,None,False,Wired,White,Compact,38.0
KeyTronic KT800U2M10PK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Saitek ECB43002N002/06/1,77.24,Slim,None,White,False,Wired,Black,Mid-Range Gaming,59.0
KeyTronic TAG-A-LONG-P1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Adesso WKB-3000UB,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
KeyTronic E03601P15PK,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
KeyTronic TRACKBALL-U1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Adesso AKB-210,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
KeyTronic KT800P2M10PK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso ACK-540PB,46.25,Mini,None,None,True,Wired,Black,Compact,38.0
KeyTronic SCARD-U1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Adesso AKB-520UB,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic SCARD-U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
AZIO KB334B,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
AZIO KB503U,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic E06101U1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Targus AKB04US,48.62,Standard,None,None,False,Wired,Silver / Black,Office/Budget,38.0
KeyTronic E06101USBB,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
AZIO Levetron,108.27,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
KeyTronic TRACKBALL-U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
AZIO KB336RP,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
KeyTronic E06101P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Targus AKB24US,150.22,Standard,None,None,False,Wireless,Black / Silver,Mid-Range Gaming,50.0
KeyTronic TAG-A-LONG-P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic TRACKBALL-P1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
AZIO KB338BP,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
KeyTronic E03600U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Targus Corporate Keyboard,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic E03601P1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Targus AKB14USZ,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic E03601P25PK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic E03601P2M,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G80-8113LRAUS-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic E03600P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G83-6104LPNEU-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Verbatim 97537,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Cherry G81-8000LPDUS-2,118.52,Standard,Cherry MY,None,False,Wired,Black,Mid-Range Gaming,38.0
KeyTronic KT400P4,182.14,Standard,None,None,False,Wired,Gray,Mid-Range Gaming,38.0
Cherry G81-7000LUVEU-2,118.52,Standard,Cherry MY,None,False,Wired,Black,Mid-Range Gaming,38.0
KeyTronic KT400P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G83-6744LUAUS-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic CLASSIC-P2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G81-7000LUVEU-0,133.56,Mini,Cherry MY,None,False,Wired,Gray,Compact,38.0
Verbatim 96668,38.92,Standard,None,White,False,Wired,Black,Office/Budget,59.0
Verbatim 96666,131.31,Slim,None,None,False,Wireless,Black / Silver,Mid-Range Gaming,50.0
Cherry G80-11900LTMUS-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
KeyTronic CLASSIC-P1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Cherry G84-4100PRAUS,126.56,Slim,Cherry ML,None,False,Wired,Black,Mid-Range Gaming,38.0
KeyTronic TAG-A-LONG-U2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G84-4420LPBEU-0,116.69,Standard,Cherry ML,None,False,Wired,Gray,Mid-Range Gaming,38.0
Cherry G84-4100PTAUS,126.56,Slim,Cherry ML,None,False,Wired,Black,Mid-Range Gaming,38.0
Cherry G80-8113LRDUS-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G81-8000LUVEU-2,31.71,Standard,None,None,False,Wired,White,Office/Budget,38.0
Cherry J82-16001LUNEU-0,182.14,Standard,None,None,False,Wired,Gray,Mid-Range Gaming,38.0
Cherry G84-5500LPMES-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry J82-16001LPNEU-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry Compact 1800 Series,133.56,Mini,Cherry MY,None,False,Wired,Gray,Compact,38.0
Cherry Advanced Performance Line,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G84-4100PPAUS,132.81,Slim,Cherry ML,None,False,Wired,Beige,Mid-Range Gaming,38.0
Cherry G84-4420LUBEU-2,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G81-1800LPMUS-2,122.95,Mini,Cherry MY,None,False,Wired,Black,Compact,38.0
Cherry G86-62401EUADAA,135.99,Slim,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Cherry G81-1800LPMUS-0,133.56,Mini,Cherry MY,None,False,Wired,Gray,Compact,38.0
Cherry G84-5500LPMEU-2,126.56,Slim,Cherry ML,None,False,Wired,Black,Mid-Range Gaming,38.0
Cherry G81-1841LPMUS-0,133.56,Mini,Cherry MY,None,False,Wired,Gray,Compact,38.0
Cherry G80-11900LPMUS-2,126.92,Mini,Cherry MX Black,None,False,Wired,Black,Compact,58.0
Adesso WKB-4000US,51.61,Mini,None,None,True,Wireless,Silver / Gray,Compact,50.0
Adesso ACK-730W,37.43,Mini,None,None,False,Wired,White,Compact,38.0
V7 CK0C1-6N6,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Unitech K2724U-B,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Kensington K72279US,34.1,Mini,None,None,False,Wireless,Black,Compact,50.0
Tripp Lite IN3005KB,48.62,Standard,None,None,False,Wired,Silver / Black,Office/Budget,38.0
V7 CK0C2-6N6,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Verbatim 97754,105.75,Slim,None,None,True,Bluetooth Wireless,White,Compact,50.0
V7 Elite,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Verbatim 97753,70.51,Slim,None,None,False,Bluetooth Wireless,Black,Mid-Range Gaming,50.0
Verbatim 97872,105.75,Slim,None,None,True,Bluetooth Wireless,White,Compact,50.0
Rosewill RIKB-11002,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Tripp Lite IN3008KB,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Logitech 967674-0120,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Unitech K2714U-B,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Enermax KM001W,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Razer BlackWidow Ultimate Battlefield 3 Edition,120.95,Gaming,Cherry MX Blue,Orange,False,Wired,Black,Mid-Range Gaming,79.0
Microsoft CSD-00001,85.26,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Microsoft 7ZJ-00001,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Microsoft ZHA-00001,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
IOGEAR GKM551R,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Gyration GYM5600LKNA,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
ARCTIC K481,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
Qumax Gemini-P29MT,34.1,Mini,None,None,False,Wireless,Black,Compact,50.0
Grandtec KEY-3000,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
Grandtec FLX500U,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Grandtec FLX-2000,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Adesso WKB-3000U,47.52,Standard,None,None,True,Wireless,Black,Office/Budget,50.0
Qumax Gemini N2AM,47.4,Slim,None,None,False,Wired,Silver,Office/Budget,38.0
Qumax Xarmor U9W,142.3,Standard,Cherry MX Brown,None,False,Wireless,Black,Mid-Range Gaming,70.0
Qumax Gemini U26,36.8,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Qumax Xarmor U9,147.29,Standard,Cherry MX Brown,None,False,Wired,Black,Mid-Range Gaming,58.0
Qumax Scorpius V6,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Grandtec FLX-7000,31.71,Standard,None,None,False,Wired,White,Office/Budget,38.0
Qumax Xarmor U9Plus,128.33,Gaming,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Grandtec GLW-1000,31.69,Slim,None,None,False,Wired,White,Office/Budget,38.0
Ergoguys My-Lil Kids Computer,45.76,Standard,None,None,False,Wired,Blue,Office/Budget,38.0
Kensington 64338,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
SIIG JK-BT0112-S1,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Adesso ACK-595,71.63,Mini,None,None,True,Wired,White,Compact,38.0
Qumax Scorpius N1T,51.09,Slim,None,None,False,Wired,Silver / Black,Mid-Range Gaming,38.0
Cherry G80-8200LPDUS-0,182.14,Standard,None,None,False,Wired,Gray,Mid-Range Gaming,38.0
SolidTek KB-7070BP,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Qumax Scorpius U2,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
SolidTek KB-7091BU,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Razer BlackWidow Ultimate Mass Effect 3 Edition,152.15,Gaming,Cherry MX Blue,Red,False,Wired,Black,Premium Gaming,79.0
ROCCAT ISKU,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
SteelSeries 7G,126.24,Standard,Cherry MX Black,None,False,Wired,Black,Mid-Range Gaming,58.0
SteelSeries Zboard,105.01,Gaming,None,None,False,Wired,Black / Silver,Mid-Range Gaming,38.0
SteelSeries Zboard Limited Edition StarCraft II,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
Cooler Master Storm Trigger,80.29,Gaming,Cherry MX Brown,Red,False,Wired,Black,Mid-Range Gaming,79.0
HP VF097AA#ABA,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cyborg S.T.R.I.K.E. 7,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
Unitech KP3700,45.0,Standard,None,None,False,Wired,Black / Gray,Office/Budget,38.0
Kensington K39514US,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Rosewill RK-8200,108.27,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
Gateway KR-0350,63.35,Standard,None,None,False,Wireless,White / Black,Mid-Range Gaming,50.0
Rosewill RK-8100,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
SteelSeries PW1CAE1-B3ZBD01,51.26,Gaming,None,None,False,Wired,Black / White,Mid-Range Gaming,38.0
SolidTek 138 0383,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
AZIO Mini Thumb Keyboard w/ Trackball,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
SolidTek 138 0160,37.43,Mini,None,None,False,Wired,White,Compact,38.0
Kensington Pro Fit Wired Media Keyboard,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
HP C4739-60113,31.71,Standard,None,None,False,Wired,White,Office/Budget,38.0
Dell 0DJ415,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Kensington K64338,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Dell 0DJ425,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
SIIG JK-WR0712-S1,47.52,Standard,None,None,True,Wireless,Black,Office/Budget,50.0
IBM 40K5372,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
