name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
Kinesis Gaming KB600,339.0,Ergonomic,Cherry MX Brown,None,True,Wired,Black / Blue,Compact,58.0
Logitech MK710,79.99,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Keychron V6 QMK Knob,154.72,Standard,Keychron K Pro Brown,None,False,"Wired, Wired",Black,Mid-Range Gaming,38.0
Cooler Master CK530,96.78,Gaming,Gateron Red,RGB,True,Wired,None,Compact,80.0
Logitech K780,64.99,Slim,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Redragon K582-BA,67.48,Standard,Outemu Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair Vengeance K65 Compact Mechanical Gaming Keyboard,127.39,Gaming,Cherry MX Red,None,True,Wired,Black / Gray,Compact,58.0
Corsair K63 Lapboard Combo (MX Red w/Blue LED),116.43,Gaming,Cherry MX Red,Blue,True,Wireless,None,Compact,91.0
Drevo Tyrfing V2,52.87,Gaming,Outemu Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Lenovo Legion K500 RGB,74.79,Gaming,Kailh Red,RGB,False,Wired,Black,Mid-Range Gaming,80.0
HP 631341-B21,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Perixx PERIBOARD-407W,21.99,Mini,None,None,False,Wired,White,Compact,38.0
Tecware Tecware Phantom L,76.21,Gaming,Outemu Brown,RGB,True,Wired,Black / Silver,Compact,68.0
Das Keyboard 4 Professional for Mac,169.0,Standard,Cherry MX Brown,None,False,Wired,Black / Purple,Mid-Range Gaming,58.0
Tempest Combo 3000,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
SteelSeries APEX,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Keychron K5 SE,126.61,Slim,Keychron Optical Red Low Profile,White,False,"Wired, Bluetooth Wireless",Black / Gray,Mid-Range Gaming,71.0
Cooler Master CM Storm Devastator Gaming Bundle,108.27,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
GAMDIAS Hermes M3,88.0,Gaming,Kailh Blue Low Profile,RGB,True,Wired,Black,Compact,80.0
Varmilo Miya68-C Panda R2,80.11,Standard,EC Sakura V2,White,True,Wired,Black / White,Compact,59.0
Microsoft Sculpt Ergonomic Keyboard For Business,69.98,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Corsair K65 RGB MINI Purple Rune,129.99,Gaming,Cherry MX Speed Silver,RGB,True,Wired,Purple / White,Compact,88.0
Asus TUF Gaming K7,109.99,Gaming,Optical-mech Tactile,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Logitech K830,142.32,Slim,None,White,True,Wireless,Black,Compact,71.0
WASD CODE,71.32,Standard,Cherry MX Clear,White,True,Wired,Black,Compact,79.0
Razer BlackWidow X Tournament Edition Chroma,102.5,Gaming,Razer Green,RGB,True,Wired,Black,Compact,88.0
Microsoft 600,49.0,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech K120-TAA Keyboard,35.0,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Thermaltake Level 20 RGB Titanium,149.99,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Silver / Black,Mid-Range Gaming,88.0
Rosewill RKM-1000,14.3,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Corsair STRAFE,214.59,Gaming,Cherry MX Blue,Red,False,Wired,Black,Premium Gaming,79.0
A4Tech Bloody Gaming B975,125.99,Gaming,LK Light Strike Libra,RGB,False,Wired,Black / Red,Mid-Range Gaming,68.0
V7 KU200US,17.43,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Thermaltake CHALLENGER PRIME,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
Corsair K70 RGB,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Redragon Karura K502,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Gigabyte Aorus K9,93.66,Standard,Flaretech Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Redragon K550 RGB YAMA,85.61,Gaming,Outemu Purple,RGB,False,Wired,Black,Mid-Range Gaming,68.0
